Municipality,Sector,Outage Reported,Estimated Time of Restoration,Estimated Customers Impacted,Category,Current Status
ARECIBO,"COMU. JUAN A. DIAZ CRESPO, COMU. VILLA ROSA, PARC. MATTEI, SECT. BOQUERON, SECT. CANTA GALLO, SECT. CIENEGUETA, SECT. COMBATE, SECT. CUATRO CALLES, SECT. CUCHI 1, SECT. GUAYABOTA, SECT. JOYA LOS YAMBO, SECT. JUEGO DE BOLAS, SECT. LA GUINEA, SECT. LOS CACA",June 14 17:01',June 14 22:00',501-1000,Unplanned,"LUMA has successfully completed repairs and restored power to the area. If you have any questions, please contact us at 1-844-888-5862 (LUMA). "
PONCE,"EDU. ESCUELA HERMINIA GARCIA, PARC. MARAGUEZ VALLAS, SECT. EL GOLPE AVISA, SECT. EL TESORO, SECT. VERDUM, URB. GLENVIEW GARDENS, URB. HACIENDA SAN JOSE, URB. JARDINES DE PONCE",June 14 16:40',June 14 22:00',<500,Unplanned,"LUMA has successfully completed repairs and restored power to the area. If you have any questions, please contact us at 1-844-888-5862 (LUMA). "
TRUJILLO ALTO,"SECT. LAS CUCHILLAS, SECT. MONTE LAGO, COME. GALERIAS PACIFICO DE CUPEY, COND. ALTURAS DEL BOSQUE, COND. CAMINOS VERDES, COND. CAMINOS VERDES 2, COND. MONTE ATENAS, EDU. ESCUELA SEGUNDA UNIDAD JUAN ANTONIO CORRETJER, PARC. CARRAIZO, RES. RESIDENCIAL ALTUR",June 14 16:40',June 14 22:00',3001-3500,Unplanned,"LUMA has successfully completed repairs and restored power to the area. If you have any questions, please contact us at 1-844-888-5862 (LUMA). "
ARECIBO,"COMU. SAN LUIS, SECT. ANIMAS, SECT. FACTOR, SECT. JARDINES DE FACTOR, SECT. NORIEGA, SECT. SAN LUIS, URB. CAMPOS, URB. HACIENDA EL PARAISO, URB. HACIENDAS DE GARROCHALES, URB. VILLAS DE GARROCHALES",June 14 16:14',June 14 22:00',1001-1500,Unplanned,"LUMA has successfully completed repairs and restored power to the area. If you have any questions, please contact us at 1-844-888-5862 (LUMA). "
RINCON,COND. PUNTA DEL MAR BEACH VILLAGE,June 14 14:00',June 14 20:00',<500,Unplanned,"LUMA has successfully completed repairs and restored power to the area. If you have any questions, please contact us at 1-844-888-5862 (LUMA). "
CABO ROJO,"COMU. FINQUITA BETANCES, SECT. CAMINO EL SUMIDERO, SECT. CAMINO MECHO ASENCIO, SECT. CAMINO PANCHO DURAN, SECT. CAMINO RADI, SECT. CAMINO SANTIN ASENCIO, SECT. CERRO BUENA VISTA, SECT. EL BRUJO, SECT. EL JOBO, SECT. EL MAMEY, SECT. EL SALTO, SECT. EL ZAPATO, SECT. HOYO BRAVO, SECT. JAGUEY, SECT. LA 15, SECT. LA 22, SECT. LA CAPILLA, SECT. LAS MAGAS, SECT. LA TUNA, SECT. LOS RUIZ, SECT. LOS SOSA, SECT. LOS VARGAS, SECT. PARCELAS BETANCES, URB. ALTOS DE SAMAN, URB. LOS PINOS DE BOQUERON, URB. REPARTO SAMAN, COMU. MAGUAYO, SECT. CAMINO LA CUCHILLA, SECT. CERRO ALTO, SECT. EL TENDAL, SECT. LA ROSETA",June 14 09:40',June 14 22:00',1001-1500,Scheduled Maintenance,"LUMA has successfully completed repairs and restored power to the area. If you have any questions, please contact us at 1-844-888-5862 (LUMA). "
UTUADO,"EDU. ESCUELA PASO PALMA 1, PARC. RIERA, SECT. CANDITO SILVA, SECT. LAS CUEVAS, SECT. REPARTO LUCBER",June 14 08:40',June 14 20:00',1001-1500,Scheduled Maintenance,"LUMA has successfully completed repairs and restored power to the area. If you have any questions, please contact us at 1-844-888-5862 (LUMA). "
DORADO,"BO. HIGUILLAR, BO. SAN ANTONIO",June 14 18:05',June 14 23:00',2501-3000,Unplanned,Our local power restoration team is being dispatched to the area as soon as possible. 
DORADO,"CMPD. EAST COURSE DORADO, CMPR. PASEOS DE DORADO, COME. PASEO DEL PLATA SHOPPING, COND. PLANTATION VILLAGE, URB. DORADO BEACH EAST, URB. PASEO DEL MAR, URB. PASEO DEL SOL, URB. PASEO LAS OLAS, URB. PASEO LAS PALMAS, URB. PASEO LOS CORALES 1, URB. PASEO LO",June 14 17:50',June 14 23:00',<500,Unplanned,Our local power restoration team is being dispatched to the area as soon as possible. 
CAGUAS,"CEM. CEMENTERIO BORINQUEN MEMORIAL PARK 1, SECT. EL COQUI, SECT. GUASABARA, SECT. LA BARRA, SECT. LA GUASABARA, SECT. LA LIGA, SECT. LA MESA, SECT. LA PONDEROSA, SECT. LOS CURAS, SECT. LOS MUCHOS, SECT. REPARTO SOLANO, SECT. SUR DE LAS AMERICAS, URB. LAKE",June 14 16:20',June 14 22:00',2001-2500,Unplanned,Our local power restoration team is being dispatched to the area as soon as possible. 
